id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
NEUQUEN_ALUMINE,"Alumine, Neuquen",LA LIBERTAD AVANZA,3.22,0.0,0.82,2.68,19.61,37.94,1.33,0.52,0.56,4.75,0.79,2.83,0.0,0.0,24.95,172,0,44,143,1048,2027,71,28,30,254,42,151,0,0,1333,72.9,8560,6240,12.56,0.24,1.57,784,15,NEUQUEN
NEUQUEN_AÑELO,"Añelo, Neuquen",LA LIBERTAD AVANZA,2.12,0.0,0.61,1.04,11.24,57.56,0.69,0.41,0.39,2.24,0.56,0.83,0.0,0.0,22.31,203,0,58,100,1077,5518,66,39,37,215,54,80,0,0,2139,64.62,15782,10199,3.77,0.04,2.2,385,4,NEUQUEN
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",LA LIBERTAD AVANZA,3.67,0.0,1.22,2.32,15.77,33.86,1.34,0.61,0.73,7.7,1.83,0.12,0.0,0.0,30.81,30,0,10,19,129,277,11,5,6,63,15,1,0,0,252,63.7,1617,1030,18.25,0.1,2.23,188,1,NEUQUEN
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",LA LIBERTAD AVANZA,4.34,0.0,0.84,3.56,24.33,38.02,0.95,0.48,0.39,2.08,0.73,1.33,0.0,0.0,22.94,388,0,75,318,2173,3396,85,43,35,186,65,119,0,0,2049,70.86,13964,9895,7.41,0.05,2.27,733,5,NEUQUEN
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",LA LIBERTAD AVANZA,2.54,0.0,0.89,3.26,19.91,39.01,1.1,0.64,0.42,2.41,0.55,0.04,0.0,0.0,29.22,60,0,21,77,470,921,26,15,10,57,13,1,0,0,690,69.41,4028,2796,13.63,0.04,1.9,381,1,NEUQUEN
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",LA LIBERTAD AVANZA,5.6,0.0,0.38,1.65,24.71,40.4,0.7,0.27,0.39,4.0,0.46,1.14,0.0,0.0,20.28,14370,0,979,4247,63436,103703,1807,701,1008,10269,1174,2936,0,0,52049,75.75,361173,273571,3.74,0.11,2.33,10228,303,NEUQUEN
NEUQUEN_HUILICHES,"Huiliches, Neuquen",LA LIBERTAD AVANZA,5.12,0.0,0.79,3.19,24.34,36.56,1.17,0.49,0.64,3.24,0.61,0.0,0.0,0.0,23.86,523,0,81,326,2485,3733,119,50,65,331,62,0,0,0,2436,73.29,15392,11281,6.63,0.15,2.7,748,17,NEUQUEN
NEUQUEN_LACAR,"Lacar, Neuquen",LA LIBERTAD AVANZA,4.51,0.0,0.43,1.76,32.19,36.83,0.88,0.28,0.41,1.27,0.69,0.99,0.0,0.0,19.75,1002,0,95,391,7154,8185,195,63,91,283,154,221,0,0,4388,71.79,33292,23900,3.89,0.09,3.04,930,22,NEUQUEN
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",LA LIBERTAD AVANZA,2.82,0.0,1.04,3.03,15.41,44.55,1.78,0.68,0.74,3.42,1.31,1.4,0.0,0.0,23.82,95,0,35,102,519,1500,60,23,25,115,44,47,0,0,802,69.01,5925,4089,14.53,0.02,3.11,594,1,NEUQUEN
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",LA LIBERTAD AVANZA,3.57,0.0,0.29,2.61,31.45,39.51,0.64,0.19,0.58,1.29,0.47,1.44,0.0,0.0,17.96,294,0,24,215,2593,3258,53,16,48,106,39,119,0,0,1481,64.62,13607,8793,3.41,0.08,2.73,300,7,NEUQUEN
